CHEMBLID,smiles,ido_ic50,tdo_ic50
0,CHEMBL1098875,O=C1c2cc(F)ccc2-n2c1nc1ccccc1c2=O,23.0,60.0
1,CHEMBL1209728,Cc1c(Br)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,10000.0,10000.0
2,CHEMBL1276265,O=C1c2ccc(Cl)cc2-n2c1nc1ccccc1c2=O,183.0,224200.0
3,CHEMBL1346056,Oc1ccccc1-c1nc2c3ccccc3c3ccccc3c2[nH]1,11790.0,12250.0
4,CHEMBL139935,O=[N+]([O-])c1cc(F)c2cccnc2c1O,14610.0,30230.0
5,CHEMBL1403970,Nc1cccc2c([As](=O)(O)O)cccc12,45730.0,37870.0
6,CHEMBL1442185,Cc1ccccc1Cn1nnc2c1C(=O)c1ccccc1C2=O,808.9,561.0
7,CHEMBL1487639,O=Cc1ccc(O)c2ncccc12,4370.0,100000.0
8,CHEMBL1537588,Cc1cccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)c1,4612.0,1745.0
9,CHEMBL162783,CC1Oc2cc3c(-c4c(O)cc(O)c5c(O)c6c(cc45)OC(C)C(C)C6=O)c(O)cc(O)c3c(O)c2C(=O)C1C,44090.0,48550.0
10,CHEMBL1644447,O=C1c2ccccc2C(=O)c2c1nnn2Cc1ccccc1,886.0,858.0
11,CHEMBL1652342,O=C1Nc2ccccc2/C1=N/Nc1cccc(Cl)c1,1510.0,46810.0
12,CHEMBL1652343,O=C1Nc2ccccc2/C1=N/Nc1ccc(Cl)cc1,630.0,53380.0
13,CHEMBL1812545,Fc1ccc2c(/C=C/c3nnn[nH]3)c[nH]c2c1,100000.0,11580.0
14,CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,10000.0,10000.0
15,CHEMBL187460,C[C@H]1COC2=C1C(=O)C(=O)c1c2ccc2c1CCCC2(C)C,10000.0,9800.0
16,CHEMBL1875561,COCCn1c2nc(=O)n(-c3ccccc3)c(=O)c-2nc2ccccc21,23770.0,33720.0
17,CHEMBL1909733,Brc1ccccc1-c1cnn[nH]1,148000.0,100000.0
18,CHEMBL1909734,Clc1ccccc1-c1cnn[nH]1,100000.0,100000.0
19,CHEMBL1909735,Fc1ccc(-c2cnn[nH]2)cc1,100000.0,100000.0
20,CHEMBL193664,c1ccc(-c2cnn[nH]2)cc1,143000.0,100000.0
21,CHEMBL194853,Cc1cccc(-c2c[nH]nn2)c1,22000.0,100000.0
22,CHEMBL196408,Cc1ccccc1-c1c[nH]nn1,100000.0,100000.0
23,CHEMBL1974436,C[C@@H](CO)C1=C(O)C(=O)c2c(ccc3c2CCCC3(C)C)C1=O,10000.0,10000.0
24,CHEMBL1981840,O=[N+]([O-])/C=C/c1cc2ccccc2[nH]1,2790.0,100000.0
25,CHEMBL198194,Nc1cccc(-c2c[nH]nn2)c1,100000.0,100000.0
26,CHEMBL198937,Oc1cccc(-c2c[nH]nn2)c1,100000.0,100000.0
27,CHEMBL2000037,Cc1cc(=O)n2c3c(c4c(cc13)c(CN(C)C)cc(=O)n4C)OC2.Cl,26970.0,17650.0
28,CHEMBL2146496,Clc1cc(-c2c[nH]nn2)ccn1,2800.0,100000.0
29,CHEMBL2147989,Clc1cccc(-c2c[nH]nn2)c1,1200.0,100000.0
30,CHEMBL2147990,N#Cc1cccc(-c2c[nH]nn2)c1,2800.0,100000.0
31,CHEMBL2147991,FC(F)(F)c1cccc(-c2c[nH]nn2)c1,6000.0,100000.0
32,CHEMBL2147992,CCc1cccc(-c2c[nH]nn2)c1,1100.0,100000.0
33,CHEMBL2147993,O=[N+]([O-])c1cccc(-c2c[nH]nn2)c1,15000.0,100000.0
34,CHEMBL2147994,Fc1cccc(-c2c[nH]nn2)c1,100000.0,100000.0
35,CHEMBL2147995,Brc1cc(-c2c[nH]nn2)ccn1,2900.0,100000.0
36,CHEMBL2147996,Fc1cc(-c2c[nH]nn2)ccn1,7000.0,100000.0
37,CHEMBL2147997,FC(F)(F)c1cc(-c2c[nH]nn2)ccn1,15000.0,100000.0
38,CHEMBL2147998,Oc1ccccc1-c1c[nH]nn1,15000.0,100000.0
39,CHEMBL2147999,Nc1ccccc1-c1c[nH]nn1,100000.0,100000.0
40,CHEMBL2148000,Fc1ccccc1-c1c[nH]nn1,70000.0,100000.0
41,CHEMBL2148001,CCc1ccccc1-c1c[nH]nn1,100000.0,100000.0
42,CHEMBL2148002,FC(F)(F)c1ccccc1-c1c[nH]nn1,100000.0,100000.0
43,CHEMBL2148074,Oc1ccc(Cl)cc1-c1c[nH]nn1,110.0,100000.0
44,CHEMBL2148075,Cc1ccc(Cl)cc1-c1c[nH]nn1,14000.0,100000.0
45,CHEMBL2148076,Clc1ccc(Cl)c(-c2c[nH]nn2)c1,34000.0,100000.0
46,CHEMBL2148077,Clc1cccc(-c2c[nH]nn2)c1Cl,100000.0,100000.0
47,CHEMBL241898,O=[N+]([O-])c1cc([N+](=O)[O-])c2cccnc2c1O,11120.0,22670.0
48,CHEMBL274452,c1ccc2c(c1)[nH]c1c(-c3c[nH]cn3)nccc12,3530.0,1150.0
49,CHEMBL275224,c1ccc2c(c1)[nH]c1cnccc12,90000.0,1200.0
50,CHEMBL301982,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C,8410.0,100000.0
51,CHEMBL306946,O=C1c2ccccc2-n2c1nc1ccccc1c2=O,498700.0,140.0
52,CHEMBL3086870,O=C1c2ccccc2-n2c1nc1ccc(F)cc1c2=O,864400.0,241.0
53,CHEMBL3087009,O=C1c2cc(F)ccc2-n2c1nc1ccc(F)cc1c2=O,2720.0,1490.0
